reference,project_name,country,date_online,decommission_date,status,technology,product,end_use,announced_size,capacity_normalized,capacity_zerocarbon,refs,latitude
Ref,Project name,Country,,Decomission date,Status,Technology,Product,EndUse_Refining,Announced Size,Capacity_MWel,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Location
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2025.0,,FID/Construction,Other Electrolysis,H2,,2.5MW,2.5,555.5555555555555,[503][630][609],Oude-Tonge
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030.0,,Concept,Other Electrolysis,H2,,26MW,26,5777.777777777778,[503][630][609],Oude-Tonge
5,"NortH2, phase 1",NLD,,,Feasibility study,Other Electrolysis,H2,1,1GW,1000,222222.22222222225,[379],Eemshaven area
6,Norsk e-Fuel Phase 1,NOR,2028.0,,Feasibility study,SOEC,Synfuels,,50 million litres of synthetic kerosene per year production,257.4906367041199,67760.69386950524,[414] [521][1288][1449] [1693],Mosjøen
8,HYBRIT pilot,SWE,2021.0,,Operational,ALK,H2,,4.5MW,4.5,978.2608695652174,[299] [340] [434] [576] [2224],Luleå
9,HYBRIT demo,SWE,2028.0,,FID/Construction,ALK,H2,,500 MW - 1.3 Mt DRI,500,108695.65217391304,[299] [340][1108],Luleå
10,Iberdrola - Puertollano I,ESP,2022.0,,Operational,PEM,Ammonia,,20 MW,20,3846.153846153846,[567] [572][620][631],Fertiberia plant in Puertollano
11,Green Hysland Mallorca - Phase 1,ESP,2022.0,,Operational,PEM,H2,,2.5 MW,2.5,480.7692307692308,[317] [319] [594] [682] [691] [692][1239],Lloseta
14,CRI project in Norway (Circlenergy),NOR,2026.0,,Feasibility study,Other Electrolysis,MeOH,,110 MW,110,24444.444444444445,[413],Finnjord
15,ARIES project,USA,2022.0,,DEMO,PEM,H2,,1 MW,1,192.30769230769232,[613] [614] [1618],Arvada (Colorado)
16,Fukushima Hydrogen Energy Research Field,JPN,2020.0,2023,Operational,ALK,H2,,10 MW,10,2173.913043478261,[58] [135] [326] [327] [328],Fukushima
17,Hydrospider - St Gallen,CHE,2020.0,,Operational,PEM,H2,,2 MW,2,384.61538461538464,[239] [354] [546],St Gallen
18,"H2APEX Energy, Rostock-Laage",DEU,2021.0,,Operational,ALK,H2,,2 MW,2,434.7826086956522,[577][578],Laage
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,DEU,2020.0,,Operational,PEM,H2,,1.3 MW,1.3,250.00000000000003,[435] [545] [2225],Baden-Württemberg
20,eFarm (5 production sites in North Frisia),DEU,2020.0,,Operational,PEM,H2,,1.125 MW,1.125,216.34615384615387,[236] [355][585],North Frisian Islands
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,2019.0,,Operational,PEM,H2,,1 MW,1,192.30769230769232,[383] [547],Orkney Islands
23,Wyhlen hydroelectric power plant,DEU,2020.0,,Operational,ALK,H2,,1.3 MW,1.3,282.60869565217394,[239] [354] [546] [737],Wyhlen hydroelectric power plant
24,GrInHy2.0,DEU,2020.0,,Operational,SOEC,H2,,0.7 MW - 200 Nm3 H2/h,0.7,200,[298] [333] [586] [672] [2082],Salzgitter
25,Power2Met,DNK,2020.0,,Operational,Other Electrolysis,MeOH,,0.25 MW - 50 Nm3 H2/h,0.25,50,[565],
26,REMOTE - Norway,NOR,2020.0,2022,Decommisioned,PEM,H2,,50 kW,,0,[423],
27,H2One - Toranomon Hills Business Tower,JPN,2020.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[548],Toranomon Hills Business Tower
28,H2One - Toyama City Environment Center ,JPN,2020.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[549],Toyama
29,H2One - Tsuruga City,JPN,2020.0,,Operational,PEM,H2,,1 Nm3/h,0.0052,1,[550],Tsuruga
30,H2FUTURE,AUT,2019.0,,Operational,PEM,H2,,6 MW,6,1153.8461538461538,[342],Linz
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,2019.0,,Operational,PEM,H2,,4 MW,4,769.2307692307693,[352],
33,Markham Power to Gas ,CAN,2018.0,,Operational,PEM,H2,,2.5 MW,2.5,480.7692307692308,[394],"Markham, Ontario"
34,PFI - Pirmasens-Winzeln,DEU,2019.0,,Operational,Other Electrolysis,CH4,,2.5 MW,2.5,555.5555555555555,[604],Pirmasens
36,MEFCO2,DEU,2019.0,2021,DEMO,PEM,MeOH,,1 MW - 200 Nm3 H2/h - 1t MeOH/d,1,192.30769230769232,"[2], [4], [8], [50], [51] [408]",
37,"Windgas Haurup, 2nd phase",DEU,2020.0,,Operational,PEM,H2,,1 MW,1,192.30769230769232,[440] [737][1002][1198],Haurup
38,Parnu refuelling station,EST,2019.0,,Operational,ALK,H2,,1 MW - 200m3 H2/h,1,217.3913043478261,,Parnu
40,"H2Nodes, Riga",EST,2019.0,,Operational,PEM,H2,,140 Nm3 H2/h,0.728,140,[390] [391] [437],Riga
41,Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,2019.0,,Operational,ALK,H2,,0.5 MW,0.5,108.69565217391305,,"Houdain, Pas-de-Calais, Haut-de-France, France "
42,HyDeploy,GBR,2020.0,,Operational,PEM,H2,,0.5 MW,0.5,96.15384615384616,[269] [302] [436],Keele
43,Quebec Great Toronto Area East,CAN,2019.0,,Operational,ALK,H2,,0.5 MW - 100m3 H2/h,0.5,108.69565217391305,[458],
44,Fébus Pau bus station HRS,FRA,2021.0,,Operational,PEM,H2,,0.75 MW,0.75,144.23076923076923,[547],"Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France"
46,"Solothurn, STORE&GO",CHE,2019.0,,Operational,PEM,CH4,,0.35 MW,0.35,67.3076923076923,[372],Solothurn
49,Sarawak Energy,MYS,2019.0,,Operational,ALK,H2,,60 Nm3/h,0.276,60,[240] [357],
50,Vårgårda Bostäder housing complex,SWE,2019.0,,Operational,ALK,H2,,60 Nm3/h,0.276,60,,Vargarda 
51,SoCalGas-NREL,USA,2019.0,,Operational,Other Electrolysis,CH4,,0.25 MW,0.25,55.55555555555556,[3] [109],
52,Stromlückenfüller 2nd phase,DEU,2019.0,,Operational,PEM,H2,,0.2 MW,0.2,38.46153846153847,[427],
54,ATCO clean energy innovation hub,AUS,2019.0,,Operational,PEM,H2,,0.15MW,0.15,28.846153846153847,[306] [307],
55,Tauron CO2-SNG,POL,2019.0,,Operational,Other Electrolysis,CH4,,18 Nm3/h,0.08099999999999999,18,"[3], [92], [93]",
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,2019.0,,DEMO,Other Electrolysis,,,,,0,,Nagaoka
